customerid,cuscode,customer,total_sales_value,avg_invoice_value,invoice_count,active_months,first_purchase,last_purchase,unique_products,unique_categories,top_category,relationship_years,recency_days,purchase_frequency,category_concentration,behaviour_cluster,cluster_name,pca_x,pca_y
10010000001151,12164,Oolong Willow Distributors FFE,641600.0,160400.0,2,2,2020-09-22,2025-02-05,4,1,GLOBAL,4.37,349,1.0,1.0,3,Strategic High-Value,-0.6092034283861426,0.028166806039412937
1002010000765,12856,Darjeeling Cedar Exports 3E9,237288.13,118644.065,2,2,2025-07-29,2025-09-22,1,1,GLOBAL,0.15,120,1.0,1.0,1,High Frequency Buyers,-1.1030288729979294,0.29809212917578665
10022000000339,11852,Darjeeling Magnolia Trading 782,434305.0,6786.015625,11,10,2018-07-24,2024-12-18,17,1,GLOBAL,6.4,398,1.1,1.0,3,Strategic High-Value,-0.09378285208558798,-0.1628247294590565
1002880000733,12874,Oolong Ivy Imports,348000.0,174000.0,2,2,2025-08-20,2025-09-17,1,1,GLOBAL,0.08,125,1.0,1.0,1,High Frequency Buyers,-1.1199204913392606,0.3123845363249027
10031000009075,12275,Matcha Sage Distributors 829,56883440.03,38881.367074504444,220,43,2021-07-08,2025-09-30,111,2,RETAIL,4.23,112,5.116,0.5,4,High Value One-Off,2.785024313900941,-0.1330444507137273
10032000007593,12702,Sencha Bamboo Tea Co. AEF,576583.33,52416.66636363636,11,8,2024-11-11,2025-07-18,2,1,GLOBAL,0.68,186,1.375,1.0,1,High Frequency Buyers,-0.8859127687883066,0.28625084605561185
10048000003503,12343,Herbal Sage Imports,222793.38,5181.241395348838,3,3,2022-08-12,2023-10-18,21,2,RETAIL,1.18,825,1.0,0.5,4,High Value One-Off,0.24624683439337244,-0.620188932741076
1005990000065,12719,Assam Jasmine Beverages,212922.5,23658.055555555555,3,3,2025-02-17,2025-09-23,3,1,BULK,0.6,119,1.0,1.0,1,High Frequency Buyers,-1.0005920810750704,0.2460140927346658
10091000005293,12529,Sencha Orchid Trading,326850.0,40856.25,7,6,2023-07-07,2024-06-17,4,1,GLOBAL,0.95,582,1.167,1.0,1,High Frequency Buyers,-1.0232874922522361,0.3375278461805665
1009220000768,12873,GreenLeaf Hibiscus Tea Works AFB,33120.0,33120.0,1,1,2025-08-19,2025-08-19,1,1,GLOBAL,0.0,154,1.0,1.0,1,High Frequency Buyers,-1.1456450258376283,0.310632967939691
10128000004573,12148,Herbal Bamboo Distributors 11F,46510.0,23255.0,2,2,2020-08-24,2023-12-15,2,1,GLOBAL,3.31,767,1.0,1.0,1,High Frequency Buyers,-0.8785853798022812,0.1887910741920342
10130000000625,11900,Matcha Rosewood Holdings A0C,49550.0,24775.0,2,1,2018-11-27,2018-11-27,2,1,GLOBAL,0.0,2611,2.0,1.0,1,High Frequency Buyers,-1.8592464285048753,1.0083565240491155
10130000000657,11901,Sencha Bamboo Trading A3A,1017925.0,101792.5,9,7,2018-11-29,2024-03-11,6,1,GLOBAL,5.28,680,1.286,1.0,3,Strategic High-Value,-0.4500502383203809,0.04289833738841834
10177000001764,12469,Oolong Sage Beverages,53925.0,5991.666666666667,1,1,2023-02-13,2023-02-13,9,2,RETAIL,0.0,1072,1.0,0.5,1,High Frequency Buyers,-0.09482474589825783,-0.4626577899177587
10197000004385,12320,Sencha Jasmine Tea Works 32F,65000.0,65000.0,1,1,2021-11-24,2021-11-24,1,1,GLOBAL,0.0,1518,1.0,1.0,1,High Frequency Buyers,-1.584916074732067,0.6357351951648353
10230000009545,12635,Herbal Willow Exports,292000.0,146000.0,2,2,2024-05-28,2024-07-15,2,1,GLOBAL,0.13,554,1.0,1.0,1,High Frequency Buyers,-1.241974429965683,0.4056911444477333
10245000004714,12261,Assam Cedar Distributors,130689.92,1866.998857142857,4,4,2022-03-25,2025-02-18,33,2,FOOD SERVICE,2.9,336,1.0,0.5,4,High Value One-Off,0.7136629399496314,-0.8743191864739374
10251000004329,12420,Ceylon Lotus Trading 919,33750.0,33750.0,1,1,2022-06-23,2022-06-23,1,1,GLOBAL,0.0,1307,1.0,1.0,1,High Frequency Buyers,-1.5139802685436405,0.5819849444476194
