customerid,cuscode,customer,country,risk_band_predicted,prob_high,prob_medium,prob_low,risk_score,risk_bucket,total_outstanding_usd,total_outstanding_lkr,max_overdue_days,avg_overdue_days,invoice_count,receipt_count,debit_note_count,credit_note_count,behaviour_cluster,cluster_name,unique_products,unique_categories,top_category,outstanding_0_30,outstanding_31_60,outstanding_61_90,outstanding_91_plus
1002010000765,12856,Darjeeling Cedar Exports 3E9,SRI LANKA,Medium,0.0388,0.94,0.0212,3.9,Low Risk,938.9137293418707,280000.0,45,22.5,2,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,563.235411951386,375.6783173904847,0.0,0.0
1002880000733,12874,Oolong Ivy Imports,SRI LANKA,Medium,0.0703,0.8609,0.0688,7.0,Low Risk,1377.7820425247908,410640.0,23,11.5,2,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,1377.7820425247908,0.0,0.0,0.0
10031000009075,12275,Matcha Sage Distributors 829,SRI LANKA,Medium,0.4233,0.5509,0.0258,42.3,Medium Risk,15087.481798820289,4498753.0,23,6.95,20,2.0,0.0,0.0,4.0,High Value One-Off,111.0,2.0,RETAIL,15087.481798820289,0.0,0.0,0.0
10032000007593,12702,Sencha Bamboo Tea Co. AEF,SRI LANKA,High,0.9165,0.0506,0.0329,91.6,High Risk,563.0198837406206,167078.3,114,90.0,3,1.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,0.0,0.0,433.0125853020942,130.0072984385263
10048000003503,12343,Herbal Sage Imports,KAZAKHSTAN,High,0.8327,0.058,0.1093,83.3,High Risk,185.5,58385.3,772,673.0,2,0.0,0.0,0.0,4.0,High Value One-Off,21.0,2.0,RETAIL,0.0,0.0,0.0,185.5
1020110002456,12866,White Pearl Maple Beverages E36,SRI LANKA,High,0.799,0.0596,0.1414,79.9,High Risk,61.2027421480609,18166.1,31,31.0,1,1.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,0.0,61.2027421480609,0.0,0.0
10245000004714,12261,Assam Cedar Distributors,MOROCCO,High,0.9113,0.0169,0.0718,91.1,High Risk,51.0,14720.0,301,264.5,2,0.0,0.0,0.0,4.0,High Value One-Off,33.0,2.0,FOOD SERVICE,0.0,0.0,0.0,51.0
1026660000573,12857,White Pearl Hibiscus Tea Works CBD,SRI LANKA,High,0.7881,0.002,0.2099,78.8,High Risk,16.26006992835847,4850.0,6,6.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,16.26006992835847,0.0,0.0,0.0
10271000007691,12588,TeaLeaf Magnolia Imports D1A,SRI LANKA,High,0.9383,0.0617,0.0,93.8,High Risk,2457.401415141428,732682.1000000001,131,52.666666666666664,9,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,1200.586719904853,1032.3306935557048,74.69580362970432,149.78819805116595
10271000007704,12589,Ceylon Bamboo Imports,SAUDI ARABIA,High,0.7566,0.1387,0.1047,75.7,High Risk,75686.9,22612355.5,242,138.0,3,2.0,0.0,0.0,4.0,High Value One-Off,3.0,2.0,BULK,75536.9,0.0,0.0,150.0
10283000001926,12416,Assam Palm Tea Co. 650,SRI LANKA,High,0.744,0.1708,0.0852,74.4,High Risk,48765.36,14365693.3,1126,217.93103448275863,58,0.0,0.0,0.0,4.0,High Value One-Off,115.0,2.0,FOOD SERVICE,15530.0,1387.5,7527.66,24320.2
10299000004832,12569,White Pearl Cedar Trading 0AB,SRI LANKA,High,0.8257,0.1741,0.0002,82.6,High Risk,1196.8271862760705,357090.8,66,29.285714285714285,7,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,911.9171765259538,282.7877716231116,2.122238127005093,0.0
10299000004845,12570,TeaLeaf Rosewood Imports,IRAN,High,0.6433,0.1796,0.1771,64.3,Medium Risk,182307.56,54462662.0,346,225.16666666666666,6,0.0,0.0,0.0,1.0,High Frequency Buyers,3.0,1.0,BULK,181798.0,0.0,0.0,509.5599999999977
10305000000020,11773,Assam Lotus Holdings 87E,SRI LANKA,High,0.857,0.1046,0.0385,85.7,High Risk,27787.63114343163,8250030.100000001,463,114.56,25,4.0,0.0,0.0,3.0,Strategic High-Value,61.0,1.0,RETAIL,20208.088889332765,1142.0707578756405,139.3233918041393,6298.148104419084
10305000000053,11774,Darjeeling Hibiscus Holdings,UKRAINE,Low,0.1845,0.0328,0.7827,18.4,Low Risk,63525.48,18749812.2,0,0.0,1,0.0,0.0,0.0,4.0,High Value One-Off,62.0,3.0,RETAIL,63525.48,0.0,0.0,0.0
10378000012413,12602,Assam Maple Beverages 6FD,SRI LANKA,High,0.6875,0.1825,0.13,68.8,Medium Risk,11830.967954036083,3482703.9,218,130.6,35,0.0,0.0,0.0,4.0,High Value One-Off,47.0,2.0,FOOD SERVICE,1419.76343863231,0.0,878.0745492920053,9533.129966111768
10382000006095,12412,Oolong Clover Distributors 327,SRI LANKA,High,0.8999,0.0164,0.0837,90.0,High Risk,6621.857641391472,1975320.0,59,59.0,1,0.0,0.0,0.0,3.0,Strategic High-Value,2.0,1.0,GLOBAL,0.0,6621.857641391472,0.0,0.0
10417000006401,12406,Ceylon Clover Tea Co.,SRI LANKA,Medium,0.1735,0.7617,0.0648,17.3,Low Risk,651.8288586562142,194550.0,58,28.0,3,0.0,0.0,0.0,3.0,Strategic High-Value,9.0,1.0,GLOBAL,434.4516181370966,217.3772405191176,0.0,0.0
10421000009863,12413,Oolong Clover Exports,SRI LANKA,Medium,0.1547,0.7421,0.1032,15.5,Low Risk,238.6762609735948,71325.0,58,29.0,2,0.0,0.0,0.0,3.0,Strategic High-Value,21.0,1.0,GLOBAL,224.4302583181399,14.24600265545489,0.0,0.0
10474000005455,12651,Black Gold Bamboo Tea Works E78,SRI LANKA,High,0.8352,0.1116,0.0532,83.5,High Risk,818.5277200922361,241950.0,119,81.66666666666667,3,1.0,0.0,0.0,1.0,High Frequency Buyers,4.0,1.0,GLOBAL,0.0,201.4232567320688,202.7982096974048,414.3062536627625
10494000009817,12349,Matcha Fern Tea Works,ALGERIA,High,0.9143,0.0228,0.0628,91.4,High Risk,1028.6599999999962,322805.4,1135,820.0,3,0.0,0.0,0.0,4.0,High Value One-Off,27.0,2.0,RETAIL,0.0,0.0,0.0,1028.6599999999962
10498000001000,12052,Ceylon Cedar Beverages BBD,SRI LANKA,High,0.9678,0.0,0.0322,96.8,High Risk,0.0093657425969986,1.8,1653,1653.0,1,1.0,0.0,0.0,1.0,High Frequency Buyers,158.0,1.0,GLOBAL,0.0,0.0,0.0,0.0093657425969986
1050010000965,12894,Oolong Fern Imports 19B,SRI LANKA,Low,0.0502,0.0,0.9498,5.0,Low Risk,1648.735372471567,491520.0,0,0.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,1648.735372471567,0.0,0.0,0.0
10506000000393,11939,Assam Lotus Exports C29,SRI LANKA,High,0.7576,0.1901,0.0523,75.8,High Risk,573942.0738823335,169639062.9,137,39.133633633633636,666,4.0,0.0,0.0,0.0,Loyal Medium Buyers,339.0,1.0,GLOBAL,300248.80665478285,88481.12054277421,35364.904168670284,149847.24251610608
10506000000418,11940,Golden Bud Willow Beverages 06D,SRI LANKA,Low,0.38,0.1475,0.4725,38.0,Medium Risk,999.368270864427,298104.0,0,0.0,2,1.0,0.0,0.0,3.0,Strategic High-Value,34.0,1.0,RETAIL,999.368270864427,0.0,0.0,0.0
10506000000444,11941,Golden Bud Sage Tea Works,SRI LANKA,Medium,0.3058,0.6283,0.066,30.6,Medium Risk,4145.264128412495,1236763.4,50,10.0,14,1.0,0.0,0.0,4.0,High Value One-Off,23.0,2.0,RETAIL,3303.2780645943076,841.9860638181873,0.0,0.0
10551000004232,12548,TeaLeaf Sage Tea Works,SRI LANKA,Medium,0.3136,0.6472,0.0392,31.4,Medium Risk,2004.3813560922483,597375.0,25,12.285714285714286,7,0.0,0.0,0.0,4.0,High Value One-Off,2.0,2.0,RETAIL,2004.3813560922483,0.0,0.0,0.0
10580000009258,12176,Ceylon Orchid Exports,TRINIDAD AND TOBAGO,Low,0.1224,0.2936,0.584,12.2,Low Risk,125095.74,37313198.1,0,0.0,2,0.0,0.0,0.0,4.0,High Value One-Off,83.0,2.0,RETAIL,125095.74,0.0,0.0,0.0
10636000003707,12549,White Pearl Willow Distributors 562,SRI LANKA,Low,0.2153,0.007,0.7777,21.5,Low Risk,219.7440400229058,65657.1,0,0.0,1,1.0,0.0,0.0,4.0,High Value One-Off,11.0,3.0,RETAIL,219.7440400229058,0.0,0.0,0.0
1074010000609,12828,Herbal Ivy Tea Works A65,SRI LANKA,Medium,0.151,0.8086,0.0404,15.1,Low Risk,767.1036622035451,228913.0,73,14.6,5,0.0,0.0,0.0,4.0,High Value One-Off,30.0,2.0,RETAIL,767.0996959916031,0.0,0.0039662119421565,0.0
1074770000098,12754,Black Gold Cedar Tea Co.,SRI LANKA,High,0.9673,0.0327,0.0,96.7,High Risk,6970.109499774532,2076064.6,108,47.23529411764706,17,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,3089.159447839912,2199.8863633471724,1664.0068716786807,17.056816908767207
10801000003559,12388,Assam Clover Holdings ECC,SRI LANKA,High,0.9792,0.0025,0.0183,97.9,High Risk,0.2468751184602383,77.5,883,883.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,0.0,0.0,0.0,0.2468751184602383
1083330000215,12744,Silver Tip Clover Imports,SRI LANKA,High,0.4439,0.4047,0.1514,44.4,Medium Risk,257.5977328574029,76700.0,38,20.0,3,1.0,0.0,0.0,4.0,High Value One-Off,2.0,2.0,GLOBAL,158.41533205157108,99.1824008058318,0.0,0.0
10902000007919,12240,Assam Maple Tea Co.,SRI LANKA,High,0.8272,0.1703,0.0025,82.7,High Risk,562.5260747015046,167485.1,114,56.69230769230769,13,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,254.78649940221575,137.857242201612,148.47764933046315,21.4046837672137
10913000004042,12648,Darjeeling Bamboo Holdings,CAMBODIA,High,0.4136,0.3436,0.2428,41.4,Medium Risk,30990.15,9241777.1,349,165.0,3,0.0,0.0,0.0,4.0,High Value One-Off,57.0,2.0,FOOD SERVICE,30905.15,0.0,0.0,85.0
1096990001001,12804,Assam Rosewood Tea Works,SRI LANKA,High,0.8832,0.002,0.1148,88.3,High Risk,4.570216811085518,1350.0,133,133.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,RETAIL,0.0,0.0,0.0,4.570216811085518
11031000007557,12636,Silver Tip Hibiscus Imports,SRI LANKA,High,0.9632,0.0,0.0368,96.3,High Risk,404.6392220137207,120000.0,80,80.0,1,1.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,0.0,0.0,404.6392220137207,0.0
11046000000708,11902,TeaLeaf Magnolia Tea Co.,SRI LANKA,High,0.9403,0.0033,0.0563,94.0,High Risk,0.0114498063187259,3.4,512,512.0,1,2.0,0.0,0.0,4.0,High Value One-Off,23.0,2.0,FOOD SERVICE,0.0,0.0,0.0,0.0114498063187259
11055000004922,12681,Sencha Lotus Holdings,SRI LANKA,Low,0.4293,0.009,0.5617,42.9,Medium Risk,19.74802193436226,5900.0,0,0.0,1,0.0,0.0,0.0,4.0,High Value One-Off,3.0,2.0,RETAIL,19.74802193436226,0.0,0.0,0.0
11062000009989,12531,Darjeeling Hibiscus Beverages D38,SRI LANKA,High,0.9685,0.0198,0.0117,96.9,High Risk,61446.15817637359,18192318.7,438,94.33333333333333,39,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,13490.145775652774,9155.969971233655,9195.982824792352,29604.05960469481
11082000004726,12407,Darjeeling Clover Tea Co.,SRI LANKA,High,0.6379,0.2779,0.0842,63.8,Medium Risk,1750.945662339649,516840.0,161,61.0,4,0.0,0.0,0.0,4.0,High Value One-Off,20.0,3.0,FOOD SERVICE,442.85779194342933,0.0,887.536074363841,420.5517960323789
1110220000221,12778,Oolong Palm Beverages,SRI LANKA,Medium,0.1592,0.8076,0.0332,15.9,Low Risk,1016.8233946314074,302670.0,71,19.285714285714285,7,0.0,0.0,0.0,4.0,High Value One-Off,7.0,2.0,FOOD SERVICE,772.0661710030126,99.1824008058318,145.574822822563,0.0
11155000005789,12483,Herbal Bamboo Distributors,SRI LANKA,High,0.9127,0.0517,0.0356,91.3,High Risk,5480.570299732274,1619335.2,450,255.66666666666666,6,0.0,0.0,0.0,3.0,Strategic High-Value,3.0,1.0,GLOBAL,0.0,1254.836262570657,0.0,4225.734037161617
11171000004745,12543,Oolong Rosewood Tea Co.,SRI LANKA,High,0.6855,0.1858,0.1287,68.6,Medium Risk,3321.282794613921,991404.0,688,156.0,5,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,3290.202013361165,0.0,0.0,31.08078125275601
11190000000069,11813,White Pearl Sage Exports 361,SRI LANKA,High,0.9773,0.0227,0.0,97.7,High Risk,19889.972421935334,5904709.3,213,76.0952380952381,21,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,6926.378414970706,2860.354235404357,3837.5239892476866,6265.715782312586
11221000007188,12563,White Pearl Lotus Tea Co.,SRI LANKA,Low,0.4839,0.0255,0.4906,48.4,Medium Risk,219.5657559213197,65500.0,11,11.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,18.0,1.0,GLOBAL,219.5657559213197,0.0,0.0,0.0
11241000012993,12603,Matcha Cedar Imports B08,SRI LANKA,High,0.6209,0.3072,0.072,62.1,Medium Risk,97.20112173536447,28910.0,505,252.5,2,0.0,0.0,0.0,3.0,Strategic High-Value,2.0,1.0,FOOD SERVICE,58.05918448702505,0.0,0.0,39.14193724833942
11245000000077,11779,Darjeeling Magnolia Trading,SRI LANKA,Medium,0.2103,0.7164,0.0733,21.0,Low Risk,396.0893358657635,118000.0,32,16.0,2,1.0,0.0,0.0,4.0,High Value One-Off,8.0,3.0,FOOD SERVICE,197.4698423387391,198.6194935270244,0.0,0.0
11245000000085,11780,Silver Tip Magnolia Imports,SRI LANKA,Medium,0.3018,0.5412,0.157,30.2,Medium Risk,376.3381067173004,112255.9,9,3.0,3,0.0,0.0,0.0,4.0,High Value One-Off,10.0,2.0,RETAIL,376.3381067173004,0.0,0.0,0.0
1125330000162,12751,Assam Rosewood Imports,SRI LANKA,High,0.8002,0.106,0.0938,80.0,High Risk,259.0863012525208,77290.0,39,23.5,2,0.0,0.0,0.0,4.0,High Value One-Off,4.0,2.0,FOOD SERVICE,139.374561889074,119.7117393634468,0.0,0.0
11268000005598,12421,Matcha Maple Tea Co. FC9,SRI LANKA,Medium,0.2519,0.6421,0.1061,25.2,Low Risk,262.2803526603622,78275.0,58,38.666666666666664,3,0.0,0.0,0.0,3.0,Strategic High-Value,14.0,1.0,GLOBAL,66.10451609318629,196.17583656717593,0.0,0.0
11270000007257,12678,Golden Bud Palm Imports 1CE,SRI LANKA,High,0.9837,0.0,0.0163,98.4,High Risk,530.2598340313741,157600.0,37,37.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,0.0,530.2598340313741,0.0,0.0
11287000004415,12505,GreenLeaf Rosewood Holdings,SRI LANKA,High,0.6979,0.2644,0.0376,69.8,Medium Risk,2132.0620546482214,630269.6,475,249.5,6,0.0,0.0,2.0,3.0,Strategic High-Value,4.0,1.0,GLOBAL,1170.685877029534,0.0,0.0,961.3761776186875
1147440000662,12901,Matcha Palm Holdings CF6,SRI LANKA,Low,0.3573,0.01,0.6327,35.7,Medium Risk,107.2827536812118,31995.0,23,23.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,107.2827536812118,0.0,0.0,0.0
11514000002292,12293,Sencha Fern Imports,SRI LANKA,High,0.7061,0.2209,0.073,70.6,High Risk,1468.5548116879195,433650.0,325,119.2,5,0.0,0.0,0.0,4.0,High Value One-Off,45.0,3.0,FOOD SERVICE,548.3651197162744,0.0,0.0,920.1896919716452
11516000008649,12055,White Pearl Fern Exports 033,SRI LANKA,High,0.8776,0.0832,0.0392,87.8,High Risk,10351.282243941267,3050325.0,618,464.75,4,1.0,0.0,0.0,4.0,High Value One-Off,17.0,3.0,RETAIL,0.0,0.0,0.0,10351.282243941267
1157550000792,12830,GreenLeaf Cedar Exports,SRI LANKA,Low,0.3727,0.0053,0.622,37.3,Medium Risk,175.4276216744355,52320.0,0,0.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,18.0,1.0,RETAIL,175.4276216744355,0.0,0.0,0.0
11585000014254,12664,Darjeeling Rosewood Tea Works 5AA,SRI LANKA,High,0.9851,0.0,0.0149,98.5,High Risk,724.9343065103712,215350.0,63,63.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,6.0,1.0,GLOBAL,0.0,0.0,724.9343065103712,0.0
11675000000069,11787,Assam Magnolia Imports B30,SRI LANKA,Low,0.1873,0.3037,0.5089,18.7,Low Risk,11079.301270907052,3308661.9,28,8.0,7,0.0,0.0,0.0,4.0,High Value One-Off,74.0,2.0,RETAIL,11079.301270907052,0.0,0.0,0.0
11675000000085,11789,Herbal Magnolia Imports,SRI LANKA,Low,0.1089,0.014,0.8771,10.9,Low Risk,86.03820947999263,25665.0,0,0.0,1,0.0,0.0,0.0,4.0,High Value One-Off,8.0,2.0,FOOD SERVICE,86.03820947999263,0.0,0.0,0.0
1185990000414,12790,Black Gold Ivy Tea Co.,SRI LANKA,Low,0.1005,0.0282,0.8714,10.0,Low Risk,59.22348970899852,17700.0,0,0.0,1,0.0,0.0,0.0,4.0,High Value One-Off,3.0,2.0,FOOD SERVICE,59.22348970899852,0.0,0.0,0.0
1187880000500,12763,Herbal Clover Trading,SRI LANKA,High,0.9243,0.0025,0.0732,92.4,High Risk,117.0090143443751,34220.0,254,254.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,3.0,1.0,GLOBAL,0.0,0.0,0.0,117.0090143443751
11888000010991,12637,GreenLeaf Lotus Tea Works,SRI LANKA,Low,0.3605,0.022,0.6175,36.0,Medium Risk,41.48567017066054,12381.0,0,0.0,1,0.0,0.0,0.0,4.0,High Value One-Off,15.0,3.0,FOOD SERVICE,41.48567017066054,0.0,0.0,0.0
1194330000154,12721,Ceylon Maple Tea Co.,SRI LANKA,High,0.9519,0.0,0.0481,95.2,High Risk,482.3701169867026,143808.0,18,18.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,15.0,1.0,RETAIL,482.3701169867026,0.0,0.0,0.0
11945000001824,12031,Sencha Jasmine Holdings,GEORGIA,High,0.6836,0.1346,0.1818,68.4,Medium Risk,90342.15,26945358.7,451,202.66666666666666,3,0.0,0.0,1.0,4.0,High Value One-Off,55.0,2.0,RETAIL,90264.15,0.0,0.0,78.0
1195110000796,12844,Sencha Sage Trading,SYRIA,High,0.919,0.012,0.069,91.9,High Risk,47455.89,14165217.8,45,45.0,1,1.0,0.0,0.0,4.0,High Value One-Off,59.0,2.0,FOOD SERVICE,0.0,47455.89,0.0,0.0
11980000004238,12188,TeaLeaf Jasmine Tea Co.,SRI LANKA,High,0.7105,0.163,0.1265,71.0,High Risk,2263.782852088156,670402.7,111,27.75,4,1.0,0.0,0.0,4.0,High Value One-Off,58.0,3.0,FOOD SERVICE,711.6196305483238,0.0,0.0,1552.163221539832
11980000004900,12197,Silver Tip Orchid Beverages,SRI LANKA,High,0.9198,0.026,0.0542,92.0,High Risk,118.79296540414647,36639.0,609,560.6666666666666,3,0.0,0.0,0.0,4.0,High Value One-Off,10.0,2.0,RETAIL,0.0,0.0,0.0,118.79296540414647
11980000004992,12199,Darjeeling Hibiscus Tea Co.,SRI LANKA,High,0.7122,0.002,0.2858,71.2,High Risk,3.163030631859718,945.0,17,17.0,1,0.0,0.0,0.0,4.0,High Value One-Off,9.0,3.0,FOOD SERVICE,3.163030631859718,0.0,0.0,0.0
11980000005091,12202,GreenLeaf Palm Distributors,RUSSIA,Low,0.416,0.0293,0.5547,41.6,Medium Risk,119704.77,35687331.7,0,0.0,1,0.0,13.0,0.0,3.0,Strategic High-Value,26.0,1.0,RETAIL,119704.77,0.0,0.0,0.0
12076000007949,12476,Darjeeling Lotus Trading,SRI LANKA,High,0.7856,0.1486,0.0658,78.6,High Risk,209648.36469857694,62408147.3,588,190.63483146067415,178,2.0,0.0,0.0,0.0,Loyal Medium Buyers,513.0,2.0,RETAIL,37720.21383090983,23810.98397743987,14587.67421693692,133529.49267329034
12102000001530,11983,Darjeeling Orchid Distributors 594,SOUTH AFRICA,High,0.6052,0.2597,0.1351,60.5,Medium Risk,141732.83000000002,42258122.2,621,308.75,4,0.0,1.0,1.0,4.0,High Value One-Off,82.0,2.0,RETAIL,139748.63,0.0,0.0,1984.200000000004
1211550000335,12824,Oolong Maple Beverages 63F,SRI LANKA,High,0.4828,0.4544,0.0628,48.3,Medium Risk,100.55077669059226,29970.0,99,49.5,2,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,RETAIL,79.97528614718932,0.0,0.0,20.57549054340294
